"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENsembl","GeneID","EntrezID"
"SLC39A14",7221.78890187465,-1.37938145911528,0.931532681874052,-1.48076550179673,0.138669072437454,0.504744366158399,"ENSG00000104635","SLC39A14","23516"
"MTMR9",1807.01776840393,0.49052313001453,0.830770033451621,0.590443937868752,0.554893060824402,0.855258994357113,"ENSG00000104643","MTMR9","66036"
"LEPROTL1",6235.2554481039,0.0634772536387504,1.15687485765572,0.0548695939052387,0.956242355921105,0.989915298905864,"ENSG00000104660","LEPROTL1","23484"
"DCTN6",2485.31548643363,1.32261010404484,1.0872758680126,1.21644390623917,0.223815867011451,0.617870057579874,"ENSG00000104671","DCTN6","10671"
"R3HCC1",1488.65582302131,0.180693112243484,1.29394976729858,0.139644611259309,0.888940791249127,0.974829274235742,"ENSG00000104679","R3HCC1","203069"
"GSR",3662.08999014171,-0.472788325557703,1.08648008534363,-0.435155997735724,0.663449199412955,0.901393562854203,"ENSG00000104687","GSR","2936"
"TNFRSF10A",43.8265704330101,-3.18746444850751,1.90140013346588,-1.67637752433381,0.0936642684806238,0.419034014750118,"ENSG00000104689","TNFRSF10A","8797"
"UBXN8",730.271769547846,0.449241308536663,0.869222984567909,0.516830912795042,0.605274198692671,0.87750849836382,"ENSG00000104691","UBXN8","7993"
"PPP2CB",9938.80348865245,1.27855117871242,1.15571799705031,1.10628300500262,0.268604045380739,0.669732436742867,"ENSG00000104695","PPP2CB","5516"
"ERICH1",572.278683976989,0.401816398676905,0.915920567616529,0.43870223345081,0.660877308540717,0.900397270609577,"ENSG00000104714","ERICH1","157697"
"NEFM",34.2108351340503,-3.79588713642318,3.12258324358932,-1.21562400112668,0.224128186913499,0.617965335629838,"ENSG00000104722","NEFM","4741"
"TUSC3",1033.00962173194,-22.3242168556068,5.6491005886502,-3.95181790539527,7.75597501460133e-05,0.00544823227341469,"ENSG00000104723","TUSC3","7991"
"ARHGEF10",1631.98680566049,-0.650571974774568,1.12742458321467,-0.577042566270436,0.563910701029103,0.858966327602997,"ENSG00000104728","ARHGEF10","9639"
"KLHDC4",1005.3205792753,0.345978059645801,1.06305436234677,0.325456601186442,0.744835523456487,0.933317092044744,"ENSG00000104731","KLHDC4","54758"
"MCM4",7109.41941714024,0.495367462488613,1.22719839014698,0.40365719712954,0.686464819075651,0.911171245803035,"ENSG00000104738","MCM4","4173"
"KCTD9",2614.15868433488,-0.363967650810243,1.41277848429103,-0.25762542030281,0.796696009215351,0.951402285996367,"ENSG00000104756","KCTD9","54793"
